,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
,>20,>4,>160,>100,,,,,,,
,,,,,,,,,,,
,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
Mazda RX4,21.00,6.00,160.00,110.00,3.9,2.62,16.46,0,1,4,4
Mazda RX4 Wag,21.00,6.00,160.00,110.00,3.9,2.875,17.02,0,1,4,4
Datsun 710,22.80,4.00,108.00,93.00,3.85,2.32,18.61,1,1,4,1
Hornet 4 Drive,21.40,6.00,258.00,110.00,3.08,3.215,19.44,1,0,3,1
Hornet Sportabout,18.70,8.00,360.00,175.00,3.15,3.44,17.02,0,0,3,2
Valiant,18.10,6.00,225.00,105.00,2.76,3.46,20.22,1,0,3,1
Duster 360,14.30,8.00,360.00,245.00,3.21,3.57,15.84,0,0,3,4
Merc 240D,24.40,4.00,146.70,62.00,3.69,3.19,20,1,0,4,2
Merc 230,22.80,4.00,140.80,95.00,3.92,3.15,22.9,1,0,4,2
Merc 280,19.20,6.00,167.60,123.00,3.92,3.44,18.3,1,0,4,4
Merc 280C,17.80,6.00,167.60,123.00,3.92,3.44,18.9,1,0,4,4
Merc 450SE,16.40,8.00,275.80,180.00,3.07,4.07,17.4,0,0,3,3
Merc 450SL,17.30,8.00,275.80,180.00,3.07,3.73,17.6,0,0,3,3
Merc 450SLC,15.20,8.00,275.80,180.00,3.07,3.78,18,0,0,3,3
Cadillac Fleetwood,10.40,8.00,472.00,205.00,2.93,5.25,17.98,0,0,3,4
Lincoln Continental,10.40,8.00,460.00,215.00,3,5.424,17.82,0,0,3,4
Chrysler Imperial,14.70,8.00,440.00,230.00,3.23,5.345,17.42,0,0,3,4
Fiat 128,32.40,4.00,78.70,66.00,4.08,2.2,19.47,1,1,4,1
Honda Civic,30.40,4.00,75.70,52.00,4.93,1.615,18.52,1,1,4,2
Toyota Corolla,33.90,4.00,71.10,65.00,4.22,1.835,19.9,1,1,4,1
Toyota Corona,21.50,4.00,120.10,97.00,3.7,2.465,20.01,1,0,3,1
Dodge Challenger,15.50,8.00,318.00,150.00,2.76,3.52,16.87,0,0,3,2
AMC Javelin,15.20,8.00,304.00,150.00,3.15,3.435,17.3,0,0,3,2
Camaro Z28,13.30,8.00,350.00,245.00,3.73,3.84,15.41,0,0,3,4
Pontiac Firebird,19.20,8.00,400.00,175.00,3.08,3.845,17.05,0,0,3,2
Fiat X1-9,27.30,4.00,79.00,66.00,4.08,1.935,18.9,1,1,4,1
Porsche 914-2,26.00,4.00,120.30,91.00,4.43,2.14,16.7,0,1,5,2
Lotus Europa,30.40,4.00,95.10,113.00,3.77,1.513,16.9,1,1,5,2
Ford Pantera L,15.80,8.00,351.00,264.00,4.22,3.17,14.5,0,1,5,4
Ferrari Dino,19.70,6.00,145.00,175.00,3.62,2.77,15.5,0,1,5,6
Maserati Bora,15.00,8.00,301.00,335.00,3.54,3.57,14.6,0,1,5,8
Volvo 142E,21.40,4.00,121.00,109.00,4.11,2.78,18.6,1,1,4,2
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,